"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Error #";"Error ID";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Idle Target RPM";"Idle RPM Delta";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"";"";"Steps";"RPM";"";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
0.000;39;896;42;37632;0.0;13.900;0.946;49;97;1;0;100;99;100;100;100;99;100;20;20;0;1.215;1.215;0.000;0.000;14.700;1.000;3.6;0.0;0;18;3.000;2.601;12.9;-20;0;0;-8.0;0;0;0;0;195;800;-96;97;1;0;1815;121.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;42.0;42.0;2;0;0.00;0.00;0.00;0.0;0.0
0.016;39;905;43;38915;0.0;13.800;0.939;49;97;1;0;100;99;100;100;100;99;100;20;20;0;1.218;1.218;0.000;0.000;14.700;1.000;3.7;0.0;0;18;3.000;2.852;12.9;20;0;0;-7.8;0;0;0;0;195;800;-105;97;1;0;1815;120.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;43.0;43.0;2;0;0.00;0.00;0.00;0.0;0.0
0.078;39;907;42;38094;0.0;13.600;0.925;49;97;1;0;100;99;100;100;100;99;100;19;19;0;1.199;1.199;0.000;0.000;14.700;1.000;3.6;0.0;0;18;3.000;2.674;12.9;20;0;0;-8.0;0;0;0;0;195;800;-107;97;1;0;1815;120.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;42.0;42.0;2;0;0.00;0.00;0.00;0.0;0.0
0.078;39;919;42;38598;0.0;14.500;0.986;49;97;1;0;100;99;100;100;100;99;100;19;19;0;1.199;1.199;0.000;0.000;14.700;1.000;3.7;0.0;0;18;3.000;3.037;12.9;20;0;0;-8.0;0;0;0;0;195;800;-119;97;1;0;1815;118.50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;42.0;42.0;2;0;0.00;0.00;0.00;0.0;0.0
0.202;39;916;42;38472;0.0;13.500;0.918;49;97;1;0;100;99;100;100;100;99;100;19;19;0;1.199;1.199;0.000;0.000;14.700;1.000;3.7;0.0;0;18;3.000;2.572;12.9;170;0;0;-8.0;0;0;0;0;195;800;-116;97;1;0;1815;118.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;42.0;42.0;2;0;0.00;0.00;0.00;0.0;0.0
0.267;39;925;42;38850;0.0;14.300;0.973;48;97;1;0;100;99;100;100;100;99;100;19;19;0;1.199;1.199;0.000;0.000;14.700;1.000;3.7;0.0;0;18;3.000;2.999;12.9;170;0;0;-8.0;0;0;0;0;195;800;-125;97;1;0;1815;117.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;42.0;42.0;2;0;0.00;0.00;0.00;0.0;0.0
0.267;39;923;41;37843;0.0;14.000;0.952;48;97;1;0;100;99;100;100;100;99;100;19;19;0;1.193;1.193;0.000;0.000;14.700;1.000;3.7;0.0;0;18;3.000;2.766;12.9;60;0;0;-8.1;0;0;0;0;195;800;-123;97;1;0;1815;117.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;41.0;41.0;2;0;0.00;0.00;0.00;0.0;0.0
0.404;39;918;42;38556;0.0;14.200;0.966;48;97;1;0;100;99;100;100;100;99;100;19;19;0;1.199;1.199;0.000;0.000;14.700;1.000;3.7;0.0;0;18;3.000;2.633;12.9;-120;0;0;-8.0;0;0;0;0;195;800;-118;97;1;0;1815;118.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;42.0;42.0;2;0;0.00;0.00;0.00;0.0;0.0
0.404;39;907;41;37187;0.0;13.900;0.946;48;97;1;0;100;99;100;100;100;99;100;19;19;0;1.193;1.193;0.000;0.000;14.700;1.000;3.6;0.0;0;18;3.000;2.560;12.9;-120;0;0;-8.1;0;0;0;0;195;800;-107;97;1;0;1815;120.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;41.0;41.0;2;0;0.00;0.00;0.00;0.0;0.0
0.470;40;921;42;38682;0.0;13.800;0.939;48;97;1;0;100;99;100;100;100;99;100;19;19;0;1.199;1.199;0.000;0.000;14.700;1.000;3.7;0.0;0;18;3.000;3.039;12.9;-20;0;0;-8.0;0;0;0;0;195;800;-121;97;1;0;1807;117.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;42.0;42.0;2;0;0.00;0.00;0.00;0.0;0.0
0.605;40;929;42;39018;0.0;13.900;0.946;48;97;1;0;100;99;100;100;100;99;100;19;19;0;1.199;1.199;0.000;0.000;14.700;1.000;3.7;0.0;0;18;3.000;2.692;12.9;40;0;0;-8.0;0;0;0;0;195;800;-129;97;1;0;1807;116.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;42.0;42.0;2;0;0.00;0.00;0.00;0.0;0.0
