"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Idle Target RPM";"Idle RPM Delta";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"Steps";"RPM";"";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
0.000;236;812;49;39788;0.0;14.500;0.986;39;97;1;0;100;100;100;100;100;100;100;22;22;0;1.251;1.251;0.000;0.000;14.400;0.980;3.4;0.0;0;25;3.000;2.854;12.9;-70;-7.3;0;0;0;0;159;800;-12;99;1;0;1845;136.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;49.0;49.0;2;0;0.00;0.00;0.00;0.0;0.0
0.000;236;821;50;41050;0.0;14.100;0.959;39;97;1;0;100;100;100;100;100;100;100;24;24;0;1.280;1.280;0.000;0.000;14.300;0.973;3.5;0.0;0;25;3.000;3.288;12.9;-70;-7.1;0;0;0;0;159;800;-21;99;1;0;1845;134.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;50.0;50.0;2;0;0.00;0.00;0.00;0.0;0.0
0.070;236;821;49;40229;0.0;14.200;0.966;39;97;1;0;100;100;100;100;100;100;100;22;22;0;1.251;1.251;0.000;0.000;14.500;0.986;3.4;0.0;0;25;3.000;2.892;12.9;90;-7.3;0;0;0;0;159;800;-21;99;1;0;1845;134.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;49.0;49.0;2;0;0.00;0.00;0.00;0.0;0.0
0.135;236;805;50;40250;0.0;14.200;0.966;39;97;1;0;100;100;100;100;100;100;100;24;24;0;1.280;1.280;0.000;0.000;14.300;0.973;3.4;0.0;0;25;3.000;2.740;12.9;-160;-7.1;0;0;0;0;159;800;-5;99;1;0;1845;137.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;50.0;50.0;2;0;0.00;0.00;0.00;0.0;0.0
0.200;236;811;50;40550;0.0;14.500;0.986;39;97;1;0;100;100;100;100;100;100;100;24;24;0;1.280;1.280;0.000;0.000;14.300;0.973;3.5;0.0;0;25;3.000;2.810;12.6;-160;-7.1;0;0;0;0;159;800;-11;99;1;0;1845;136.50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;50.0;50.0;2;0;0.00;0.00;0.00;0.0;0.0
0.266;236;809;50;40450;0.0;14.400;0.980;39;97;1;0;100;100;100;100;100;100;100;24;24;0;1.280;1.280;0.000;0.000;14.300;0.973;3.5;0.0;0;25;3.000;2.540;12.6;-20;-7.1;0;0;0;0;159;800;-9;99;1;0;1845;136.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;50.0;50.0;2;0;0.00;0.00;0.00;0.0;0.0
0.335;236;807;50;40350;0.0;14.700;1.000;39;97;1;0;100;100;100;100;100;100;100;24;24;0;1.280;1.280;0.000;0.000;14.300;0.973;3.4;0.0;0;25;3.000;2.926;12.6;40;-7.1;0;0;0;0;159;800;-7;99;1;0;1845;137.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;50.0;50.0;2;0;0.00;0.00;0.00;0.0;0.0
0.401;236;786;50;39300;0.0;14.500;0.986;39;97;1;0;100;100;100;100;100;100;100;24;24;0;1.280;1.280;0.000;0.000;14.300;0.973;3.4;0.0;0;24;3.000;1.876;12.6;40;-7.1;0;0;0;0;159;800;14;99;1;0;1845;140.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;50.0;50.0;2;0;0.00;0.00;0.00;0.0;0.0
0.467;236;790;51;40290;0.0;14.600;0.993;39;97;1;0;100;100;100;100;100;100;100;25;25;0;1.292;1.292;0.000;0.000;14.200;0.966;3.4;0.0;0;24;3.000;3.071;12.9;-230;-7.0;0;0;0;0;159;800;10;99;1;0;1845;140.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;51.0;51.0;2;0;0.00;0.00;0.00;0.0;0.0
0.536;236;784;51;39984;0.0;14.600;0.993;39;97;1;0;100;100;100;100;100;100;100;25;25;0;1.292;1.292;0.000;0.000;14.200;0.966;3.4;0.0;0;24;3.000;2.898;12.9;-230;-7.0;0;0;0;0;159;800;16;99;1;0;1845;141.20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;51.0;51.0;2;0;0.00;0.00;0.00;0.0;0.0
0.601;236;797;51;40647;0.0;14.800;1.007;39;97;1;0;100;100;100;100;100;100;100;25;25;0;1.292;1.292;0.000;0.000;14.200;0.966;3.4;0.0;0;25;3.000;3.384;12.9;0;-7.0;0;0;0;0;159;800;3;99;1;0;1845;138.90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;51.0;51.0;2;0;0.00;0.00;0.00;0.0;0.0
0.667;236;805;51;41055;0.0;14.700;1.000;39;97;1;0;100;100;100;100;100;100;100;25;25;0;1.292;1.292;0.000;0.000;14.200;0.966;3.5;0.0;0;25;3.000;2.924;12.9;210;-7.0;0;0;0;0;159;800;-5;99;1;0;1845;137.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;51.0;51.0;2;0;0.00;0.00;0.00;0.0;0.0
0.738;236;797;51;40647;0.0;14.500;0.986;39;97;1;0;100;100;100;100;100;100;100;25;25;0;1.292;1.292;0.000;0.000;14.200;0.966;3.4;0.0;0;25;3.000;3.113;12.9;210;-7.0;0;0;0;0;159;800;3;99;1;0;1845;138.90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;51.0;51.0;2;0;0.00;0.00;0.00;0.0;0.0
0.804;236;804;51;41004;0.0;14.400;0.980;39;97;1;0;100;100;100;100;100;100;100;25;25;0;1.292;1.292;0.000;0.000;14.200;0.966;3.5;0.0;0;25;3.000;3.108;12.9;-80;-7.0;0;0;0;0;159;800;-4;99;1;0;1845;137.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;51.0;51.0;2;0;0.00;0.00;0.00;0.0;0.0
0.870;236;813;51;41463;0.0;14.400;0.980;39;97;1;0;100;100;100;100;100;100;100;25;25;0;1.292;1.292;0.000;0.000;14.200;0.966;3.5;0.0;0;25;3.000;2.677;12.9;30;-7.0;0;0;0;0;159;800;-13;99;1;0;1845;136.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;51.0;51.0;2;0;0.00;0.00;0.00;0.0;0.0
0.941;236;816;51;41616;0.0;14.500;0.986;39;97;1;0;100;100;100;100;100;100;100;25;25;0;1.292;1.292;0.000;0.000;14.200;0.966;3.5;0.0;0;25;3.000;3.081;12.9;30;-7.0;0;0;0;0;159;800;-16;99;1;0;1845;135.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;51.0;51.0;2;0;0.00;0.00;0.00;0.0;0.0
1.005;237;798;51;40698;4.0;14.500;0.986;39;97;17;0;100;100;100;100;100;100;160;25;25;0;2.604;2.604;0.000;0.000;14.200;0.966;6.9;0.0;90;25;3.000;2.150;12.9;160;-7.0;0;0;0;0;159;800;2;99;1;0;1837;138.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;51.0;51.0;2;0;0.00;0.00;0.00;0.0;0.0
1.072;237;811;64;51904;11.0;14.800;1.007;39;97;17;0;100;100;100;100;100;100;164;51;51;0;3.116;3.116;0.000;0.000;14.100;0.959;8.4;0.0;105;24;3.000;3.406;12.9;-180;-5.1;0;0;0;0;159;800;-11;99;1;0;1837;135.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;64.0;64.0;2;0;0.00;0.00;0.00;0.0;0.0
1.140;237;836;85;71060;14.5;14.700;1.000;39;97;17;0;100;100;100;100;100;100;164;66;66;0;3.618;3.618;0.000;0.000;13.700;0.932;10.1;0.0;45;21;3.000;1.829;12.9;-180;-2.0;0;0;0;0;159;800;-36;99;1;0;1837;131.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;85.0;85.0;2;0;0.00;0.00;0.00;0.0;0.0
