"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"Steps";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
71.406;36;1054;38;40052;0.0;11.500;0.782;18;85;9;0;100;103;100;101;100;104;100;43;43;0;1.386;1.386;0.000;0.000;14.700;1.000;4.9;0.0;0;30;3.000;3.012;13.2;-40;-4.8;0;0;0;0;39;71;0;0;1771;100.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;38.0;38.0;2;0;0.00;0.00;0.00;0.0;0.0
0.001;36;1051;38;39938;0.0;12.400;0.844;18;85;9;0;100;103;100;101;100;104;100;43;43;0;1.386;1.386;0.000;0.000;14.700;1.000;4.9;0.0;0;30;3.000;2.895;13.2;90;-4.8;0;0;0;0;39;71;0;0;1771;101.10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;38.0;38.0;2;0;0.00;0.00;0.00;0.0;0.0
0.001;36;1046;38;39748;0.0;11.600;0.789;18;85;9;0;100;103;100;101;100;104;100;43;43;0;1.386;1.386;0.000;0.000;14.700;1.000;4.8;0.0;0;30;3.000;2.891;13.2;-110;-4.8;0;0;0;0;39;71;0;0;1771;101.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;38.0;38.0;2;0;0.00;0.00;0.00;0.0;0.0
0.068;36;1059;38;40242;0.0;11.700;0.796;18;85;9;0;100;103;100;101;100;104;100;43;43;0;1.386;1.386;0.000;0.000;14.700;1.000;4.9;0.0;0;30;3.000;3.140;13.2;-110;-4.8;0;0;0;0;39;71;0;0;1771;100.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;38.0;38.0;2;0;0.00;0.00;0.00;0.0;0.0
0.132;37;1055;38;40090;0.0;11.500;0.782;18;85;9;0;100;103;100;101;100;104;100;43;43;0;1.386;1.386;0.000;0.000;14.700;1.000;4.9;0.0;0;30;3.000;2.707;13.2;150;-4.8;0;0;0;0;39;71;0;0;1761;100.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;38.0;38.0;2;0;0.00;0.00;0.00;0.0;0.0
0.197;37;1060;38;40280;0.0;11.800;0.803;18;85;9;0;100;103;100;101;100;104;100;43;43;0;1.386;1.386;0.000;0.000;14.700;1.000;4.9;0.0;0;30;3.000;2.906;13.2;30;-4.8;0;0;0;0;39;71;0;0;1761;99.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;38.0;38.0;2;0;0.00;0.00;0.00;0.0;0.0
0.264;37;1074;37;39738;0.0;11.500;0.782;18;85;9;0;100;103;100;101;100;104;100;42;42;0;1.366;1.366;0.000;0.000;14.700;1.000;4.9;0.0;0;30;3.000;2.729;13.2;30;-4.9;0;0;0;0;39;71;0;0;1761;98.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.332;37;1066;37;39442;0.0;11.600;0.789;18;85;9;0;100;103;100;101;100;104;100;42;42;0;1.366;1.366;0.000;0.000;14.700;1.000;4.9;0.0;0;30;3.000;2.767;13.2;130;-4.9;0;0;0;0;39;71;0;0;1761;99.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.399;37;1069;37;39553;0.0;11.800;0.803;18;85;9;0;100;103;100;101;100;104;100;42;42;0;1.366;1.366;0.000;0.000;14.700;1.000;4.9;0.0;0;30;3.000;3.069;13.2;-50;-4.9;0;0;0;0;39;71;0;0;1761;98.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.464;37;1065;37;39405;0.0;11.800;0.803;18;85;9;0;100;103;100;101;100;104;100;42;42;0;1.366;1.366;0.000;0.000;14.700;1.000;4.8;0.0;0;30;3.000;2.791;13.2;-50;-4.9;0;0;0;0;39;71;0;0;1761;99.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.532;37;1069;37;39553;0.0;11.800;0.803;18;85;9;0;100;103;100;101;100;104;100;42;42;0;1.366;1.366;0.000;0.000;14.700;1.000;4.9;0.0;0;30;3.000;2.571;13.2;-40;-4.9;0;0;0;0;39;71;0;0;1761;98.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.598;37;1058;37;39146;0.0;11.700;0.796;18;85;9;0;100;103;100;101;100;104;100;43;43;0;1.371;1.371;0.000;0.000;14.700;1.000;4.8;0.0;0;30;3.000;2.715;13.2;-70;-4.9;0;0;0;0;39;71;0;0;1761;99.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.665;37;1058;38;40204;0.0;11.500;0.782;18;85;9;0;100;103;100;101;100;104;100;43;43;0;1.386;1.386;0.000;0.000;14.700;1.000;4.9;0.0;0;30;3.000;2.734;13.2;-70;-4.8;0;0;0;0;39;71;0;0;1761;99.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;38.0;38.0;2;0;0.00;0.00;0.00;0.0;0.0
0.730;37;1069;37;39553;0.0;11.800;0.803;18;85;9;0;100;103;100;101;100;104;100;42;42;0;1.366;1.366;0.000;0.000;14.700;1.000;4.9;0.0;0;30;3.000;3.023;13.2;0;-4.9;0;0;0;0;39;71;0;0;1761;98.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.795;37;1061;37;39257;0.0;11.800;0.803;18;85;9;0;100;103;100;101;100;104;100;42;42;0;1.366;1.366;0.000;0.000;14.700;1.000;4.8;0.0;0;30;3.000;2.771;13.2;30;-4.9;0;0;0;0;39;71;0;0;1761;99.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.861;37;1065;37;39405;0.0;11.700;0.796;18;85;9;0;100;103;100;101;100;104;100;42;42;0;1.366;1.366;0.000;0.000;14.700;1.000;4.8;0.0;0;30;3.000;2.939;13.2;30;-4.9;0;0;0;0;39;71;0;0;1761;99.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.930;37;1070;37;39590;0.0;11.900;0.810;18;85;9;0;100;103;100;101;100;104;100;42;42;0;1.366;1.366;0.000;0.000;14.700;1.000;4.9;0.0;0;30;3.000;2.811;13.2;90;-4.9;0;0;0;0;39;71;0;0;1761;98.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
0.996;37;1071;37;39627;0.0;11.800;0.803;18;85;9;0;100;103;100;101;100;104;100;42;42;0;1.366;1.366;0.000;0.000;14.700;1.000;4.9;0.0;0;30;3.000;2.716;13.2;10;-4.9;0;0;0;0;39;71;0;0;1761;98.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
1.061;37;1073;37;39701;0.0;11.700;0.796;18;85;9;0;100;103;100;101;100;104;100;42;42;0;1.366;1.366;0.000;0.000;14.700;1.000;4.9;0.0;0;30;3.000;2.977;13.2;10;-4.9;0;0;0;0;39;71;0;0;1761;98.47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;37.0;37.0;2;0;0.00;0.00;0.00;0.0;0.0
1.126;38;1062;38;40356;0.0;11.700;0.796;18;85;9;0;100;103;100;101;100;104;100;43;43;0;1.386;1.386;0.000;0.000;14.700;1.000;4.9;0.0;0;30;3.000;2.693;13.2;-20;-4.8;0;0;0;0;39;71;0;0;1768;99.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;38.0;38.0;2;0;0.00;0.00;0.00;0.0;0.0
