"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"None";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
0.000;219;0;99;0;0.0;14.900;1.014;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4975;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.000;219;0;99;0;0.0;15.000;1.020;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4975;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.064;219;0;99;0;0.0;14.900;1.014;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4975;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.131;219;0;99;0;0.0;14.900;1.014;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4975;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.196;219;0;99;0;0.0;15.000;1.020;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4975;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.261;219;0;99;0;0.0;15.000;1.020;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4975;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.332;219;0;99;0;0.0;14.900;1.014;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4975;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.400;220;0;99;0;0.0;14.900;1.014;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4985;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.466;220;0;99;0;0.0;14.900;1.014;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4985;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.531;220;0;99;0;0.0;15.000;1.020;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4985;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.597;220;0;99;0;0.0;14.900;1.014;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4985;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.663;220;0;99;0;0.0;14.900;1.014;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4985;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.733;220;0;99;0;0.0;14.900;1.014;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4985;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.798;220;0;99;0;0.0;14.900;1.014;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4985;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.863;220;0;99;0;0.0;15.000;1.020;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4985;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.930;220;0;99;0;0.0;15.000;1.020;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4985;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.999;220;0;99;0;0.0;14.900;1.014;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4985;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.065;220;0;99;0;0.0;14.900;1.014;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4985;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.129;220;0;99;0;0.0;14.900;1.014;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4985;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.195;220;0;99;0;0.0;14.900;1.014;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4985;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.265;220;0;99;0;0.0;15.000;1.020;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4985;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
1.331;220;0;99;0;0.0;15.000;1.020;10;48;0;0;100;104;100;126;100;131;100;56;56;0;0.000;3.085;0.000;0.000;14.400;0.980;0.0;0.0;0;14;3.180;3.177;0.0;0;0.0;0;0;0;0;0;99;0;0;4985;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
