"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"Steps";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
39.933;211;0;99;0;0.0;14.900;1.014;6;17;0;0;100;104;100;158;100;181;100;80;80;0;0.000;3.789;0.000;0.000;17.000;1.156;0.0;0.0;0;22;4.770;5.683;0.0;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.001;211;0;99;0;0.0;14.900;1.014;6;17;0;0;100;104;100;158;100;181;100;80;80;0;0.000;3.789;0.000;0.000;17.000;1.156;0.0;0.0;0;22;4.770;5.683;0.0;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.001;211;0;99;0;0.0;14.900;1.014;6;17;0;0;100;104;100;158;100;181;100;80;80;0;0.000;3.789;0.000;0.000;17.000;1.156;0.0;0.0;0;22;4.770;5.683;0.0;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.067;211;0;99;0;0.0;14.900;1.014;6;17;0;0;100;104;100;158;100;181;100;80;80;0;0.000;3.789;0.000;0.000;17.000;1.156;0.0;0.0;0;22;4.770;5.683;0.0;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.133;211;0;99;0;0.0;15.000;1.020;6;17;0;0;100;104;100;158;100;181;100;80;80;0;0.000;3.789;0.000;0.000;17.000;1.156;0.0;0.0;0;22;4.770;5.683;0.0;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.203;211;0;99;0;0.0;14.900;1.014;6;17;0;0;100;104;100;158;100;181;100;80;80;0;0.000;3.789;0.000;0.000;17.000;1.156;0.0;0.0;0;22;4.770;5.683;0.0;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.271;211;0;99;0;0.0;14.900;1.014;6;17;0;0;100;104;100;158;100;181;100;80;80;0;0.000;3.789;0.000;0.000;17.000;1.156;0.0;0.0;0;22;4.770;5.683;0.0;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.406;211;0;99;0;0.0;14.900;1.014;6;17;0;0;100;104;100;158;100;181;100;80;80;0;0.000;3.789;0.000;0.000;17.000;1.156;0.0;0.0;0;22;4.770;5.683;0.0;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.475;211;0;99;0;0.0;15.000;1.020;6;17;0;0;100;104;100;158;100;181;100;80;80;0;0.000;3.789;0.000;0.000;17.000;1.156;0.0;0.0;0;22;4.770;5.683;0.0;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.540;211;0;99;0;0.0;15.000;1.020;6;17;0;0;100;104;100;158;100;181;100;80;80;0;0.000;3.789;0.000;0.000;17.000;1.156;0.0;0.0;0;22;4.770;5.683;0.0;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
