"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Idle Target RPM";"Idle RPM Delta";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"Steps";"RPM";"";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
0.000;171;0;100;0;0.0;14.900;1.014;5;21;0;0;100;105;100;156;100;164;100;83;83;0;0.000;3.466;0.000;0.000;13.900;0.946;0.0;0.0;0;22;3.180;3.195;0.0;0;0.0;0;0;0;0;90;1060;1060;100;0;0;4061;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;100.0;100.0;0;0;0.00;0.00;0.00;0.0;0.0
0.000;171;0;100;0;0.0;14.900;1.014;5;21;0;0;100;105;100;156;100;164;100;83;83;0;0.000;3.466;0.000;0.000;13.900;0.946;0.0;0.0;0;22;3.180;3.195;0.0;0;0.0;0;0;0;0;90;1060;1060;100;0;0;4061;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;100.0;100.0;0;0;0.00;0.00;0.00;0.0;0.0
0.067;171;0;100;0;0.0;14.900;1.014;5;21;0;0;100;105;100;156;100;164;100;83;83;0;0.000;3.466;0.000;0.000;13.900;0.946;0.0;0.0;0;22;3.180;3.195;0.0;0;0.0;0;0;0;0;90;1060;1060;100;0;0;4061;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;100.0;100.0;0;0;0.00;0.00;0.00;0.0;0.0
0.133;171;0;100;0;0.0;14.900;1.014;5;21;0;0;100;105;100;156;100;164;100;83;83;0;0.000;3.466;0.000;0.000;13.900;0.946;0.0;0.0;0;22;3.180;3.195;0.0;0;0.0;0;0;0;0;90;1060;1060;100;0;0;4061;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;100.0;100.0;0;0;0.00;0.00;0.00;0.0;0.0
0.201;172;0;100;0;0.0;15.000;1.020;5;21;0;0;100;105;100;156;100;164;100;83;83;0;0.000;3.466;0.000;0.000;13.900;0.946;0.0;0.0;0;22;3.180;3.195;0.0;0;0.0;0;0;0;0;90;1060;1060;100;0;0;4058;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;100.0;100.0;0;0;0.00;0.00;0.00;0.0;0.0
0.271;172;0;100;0;0.0;14.900;1.014;5;21;0;0;100;105;100;156;100;164;100;83;83;0;0.000;3.466;0.000;0.000;13.900;0.946;0.0;0.0;0;22;3.180;3.195;0.0;0;0.0;0;0;0;0;90;1060;1060;100;0;0;4058;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;100.0;100.0;0;0;0.00;0.00;0.00;0.0;0.0
0.335;172;0;100;0;0.0;14.900;1.014;5;21;0;0;100;105;100;156;100;164;100;83;83;0;0.000;3.466;0.000;0.000;13.900;0.946;0.0;0.0;0;22;3.180;3.195;0.0;0;0.0;0;0;0;0;90;1060;1060;100;0;0;4058;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;100.0;100.0;0;0;0.00;0.00;0.00;0.0;0.0
0.400;172;0;100;0;0.0;14.900;1.014;5;21;0;0;100;105;100;156;100;164;100;83;83;0;0.000;3.466;0.000;0.000;13.900;0.946;0.0;0.0;0;22;3.180;3.195;0.0;0;0.0;0;0;0;0;90;1060;1060;100;0;0;4058;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;100.0;100.0;0;0;0.00;0.00;0.00;0.0;0.0
0.467;172;0;100;0;0.0;15.000;1.020;5;21;0;0;100;105;100;156;100;164;100;83;83;0;0.000;3.466;0.000;0.000;13.900;0.946;0.0;0.0;0;22;3.180;3.195;0.0;0;0.0;0;0;0;0;90;1060;1060;100;0;0;4058;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;100.0;100.0;0;0;0.00;0.00;0.00;0.0;0.0
