"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"Steps";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
174.629;233;0;101;0;0.0;14.900;1.014;9;24;0;0;100;104;100;154;100;189;100;83;83;0;0.000;5.713;0.000;0.000;13.100;0.891;0.0;0.0;0;22;3.180;3.015;0.0;0;0.1;0;0;0;0;93;100;0;0;4096;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.001;233;0;101;0;0.0;14.900;1.014;9;24;0;0;100;104;100;154;100;189;100;83;83;0;0.000;5.713;0.000;0.000;13.100;0.891;0.0;0.0;0;22;3.180;3.015;0.0;0;0.1;0;0;0;0;93;100;0;0;4096;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.067;233;0;100;0;0.0;14.900;1.014;9;24;0;0;100;104;100;154;100;189;100;83;83;0;0.000;5.713;0.000;0.000;13.100;0.891;0.0;0.0;0;22;3.180;3.015;0.0;0;0.0;0;0;0;0;93;100;0;0;4096;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;100.0;100.0;0;0;0.00;0.00;0.00;0.0;0.0
0.133;233;0;101;0;0.0;14.900;1.014;9;24;0;0;100;104;100;154;100;189;100;83;83;0;0.000;5.713;0.000;0.000;13.100;0.891;0.0;0.0;0;22;3.180;3.015;0.0;0;0.1;0;0;0;0;93;100;0;0;4096;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.197;233;0;100;0;0.0;15.000;1.020;9;24;0;0;100;104;100;154;100;189;100;83;83;0;0.000;5.713;0.000;0.000;13.100;0.891;0.0;0.0;0;22;3.180;3.015;0.0;0;0.0;0;0;0;0;93;100;0;0;4096;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;100.0;100.0;0;0;0.00;0.00;0.00;0.0;0.0
0.270;234;0;101;0;0.0;14.900;1.014;9;24;0;0;100;104;100;154;100;189;100;83;83;0;0.000;5.713;0.000;0.000;13.100;0.891;0.0;0.0;0;22;3.180;3.015;0.0;0;0.1;0;0;0;0;93;100;0;0;4096;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.338;234;0;100;0;0.0;14.900;1.014;9;24;0;0;100;104;100;154;100;189;100;83;83;0;0.000;5.713;0.000;0.000;13.100;0.891;0.0;0.0;0;22;3.180;3.015;0.0;0;-0.1;0;0;0;0;93;101;0;0;4096;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;100.0;100.0;0;0;0.00;0.00;0.00;0.0;0.0
0.404;234;0;100;0;0.0;14.900;1.014;9;24;0;0;100;104;100;154;100;189;100;83;83;0;0.000;5.713;0.000;0.000;13.100;0.891;0.0;0.0;0;22;3.180;3.015;0.0;0;-0.1;0;0;0;0;93;101;0;0;4096;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;100.0;100.0;0;0;0.00;0.00;0.00;0.0;0.0
0.469;234;0;101;0;0.0;14.900;1.014;9;24;0;0;100;104;100;154;100;189;100;83;83;0;0.000;5.713;0.000;0.000;13.100;0.891;0.0;0.0;0;22;3.180;3.015;0.0;0;0.0;0;0;0;0;93;101;0;0;4096;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.534;234;0;101;0;0.0;14.900;1.014;9;24;0;0;100;104;100;154;100;189;100;83;83;0;0.000;5.713;0.000;0.000;13.100;0.891;0.0;0.0;0;22;3.180;3.015;0.0;0;0.0;0;0;0;0;93;101;0;0;4096;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.605;234;0;101;0;0.0;14.900;1.014;9;24;0;0;100;104;100;154;100;189;100;83;83;0;0.000;5.713;0.000;0.000;13.100;0.891;0.0;0.0;0;22;3.180;3.015;0.0;0;0.0;0;0;0;0;93;101;0;0;4096;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.669;234;0;101;0;0.0;14.900;1.014;9;24;0;0;100;104;100;154;100;189;100;83;83;0;0.000;5.713;0.000;0.000;13.100;0.891;0.0;0.0;0;22;3.180;3.015;0.0;0;0.0;0;0;0;0;93;101;0;0;4096;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;101.0;101.0;0;0;0.00;0.00;0.00;0.0;0.0
0.734;234;0;100;0;0.0;15.000;1.020;9;24;0;0;100;104;100;154;100;189;100;83;83;0;0.000;5.713;0.000;0.000;13.100;0.891;0.0;0.0;0;22;3.180;3.015;0.0;0;-0.1;0;0;0;0;93;101;0;0;4096;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;100.0;100.0;0;0;0.00;0.00;0.00;0.0;0.0
