"Time";"SecL";"RPM";"MAP";"MAPxRPM";"TPS";"AFR";"Lambda";"IAT";"CLT";"Engine";"DFCO";"Gego";"Gair";"Gbattery";"Gwarm";"Gbaro";"Gammae";"Accel Enrich";"VE _Current";"VE1";"VE2";"PW";"PW2";"PW3";"PW4";"AFR Target";"Lambda Target";"Duty Cycle";"Duty Cycle _Staging";"TPS DOT";"Advance _Current";"Dwell";"Dwell _Measured";"Battery V";"rpm/s";"Boost PSI";"Boost cut";"Hard Launch";"Hard Limiter";"Idle Control";"IAC value";"Baro Pressure";"Fan";"Sync Loss #";"Loops/s";"Loops/rev";"Aux0";"Aux1";"Aux2";"Aux3";"Aux4";"Aux5";"Aux6";"Aux7";"Aux8";"Aux9";"Aux10";"Aux11";"Aux12";"Aux13";"Aux14";"Aux15";"Advance 1";"Advance 2";"FuelLoad";"IgnitionLoad";"Sync status";"";"Trip Meter Miles";"Odometer Miles";"Vehicle Speed";"Power";"Torque"
"s";"sec";"rpm";"kpa";"";"%";"O2";"";"";"";"bits";"";"%";"%";"";"%";"%";"%";"%";"%";"%";"%";"ms";"ms";"ms";"ms";"O2";"";"";"";"%/s";"deg";"ms";"ms";"V";"rpm/s";"";"";"";"";"";"Steps";"kpa";"";"";"loops";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"deg";"deg";"kPa";"kPa";"";"bits";"Miles";"Miles";"MPH";"HP";"lbft"
143.409;188;0;99;0;0.0;19.700;1.340;8;17;0;0;100;104;100;158;100;362;100;80;80;0;0.000;6.638;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.635;4.421;11.7;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.002;188;0;99;0;0.0;19.700;1.340;8;17;0;0;100;104;100;158;100;362;100;80;80;0;0.000;6.638;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.635;4.421;11.7;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.068;188;0;99;0;0.0;19.700;1.340;8;17;0;0;100;104;100;158;100;362;100;80;80;0;0.000;6.638;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.635;4.421;11.7;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.133;188;0;99;0;0.0;19.700;1.340;8;17;0;0;100;104;100;158;100;362;100;80;80;0;0.000;6.638;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.635;4.421;11.7;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.200;188;0;99;0;0.0;19.700;1.340;8;17;0;0;100;104;100;158;100;362;100;80;80;0;0.000;6.638;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.635;4.421;11.7;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.269;188;0;99;0;0.0;19.700;1.340;8;17;0;0;100;104;100;158;100;362;100;80;80;0;0.000;6.638;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.635;4.421;11.7;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.334;188;0;99;0;0.0;19.700;1.340;8;17;0;0;100;104;100;158;100;362;100;80;80;0;0.000;6.638;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.635;4.421;11.7;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.401;188;0;99;0;0.0;19.700;1.340;8;17;0;0;100;104;100;158;100;362;100;80;80;0;0.000;6.638;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.635;4.421;11.7;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
0.469;188;0;99;0;0.0;19.700;1.340;8;17;0;0;100;104;100;158;100;362;100;80;80;0;0.000;6.638;0.000;0.000;19.700;1.340;0.0;0.0;0;22;4.635;4.421;11.7;0;-0.1;0;0;0;0;84;100;0;0;4121;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;99.0;99.0;0;0;0.00;0.00;0.00;0.0;0.0
